expr,pub_date,ref_date,value
aa,2011-01-01,2011-06-01,2.82990256318414
aa,2011-02-01,2010-12-01,2.97786021224285
aa,2011-02-01,2011-03-01,2.87120686850094
aa,2011-02-01,2011-06-01,2.82990256318414
aa,2011-03-01,2011-03-01,2.51316058343302
aa,2011-03-01,2011-06-01,2.55673414551618
aa,2011-03-01,2011-09-01,2.64430522101104
aa,2011-04-01,2011-03-01,2.51316058343302
aa,2011-04-01,2011-06-01,2.55673414551618
aa,2011-04-01,2011-09-01,2.64430522101104
aa,2011-05-01,2011-03-01,2.51316058343302
aa,2011-05-01,2011-06-01,2.55673414551618
aa,2011-05-01,2011-09-01,2.64430522101104
aa,2011-06-01,2011-06-01,1.26075477845623
aa,2011-06-01,2011-09-01,1.66212023368638
aa,2011-06-01,2011-12-01,2.12011614800073
aa,2011-07-01,2011-06-01,1.26075477845623
aa,2011-07-01,2011-09-01,1.66212023368638
aa,2011-07-01,2011-12-01,2.12011614800073
aa,2011-08-01,2011-06-01,1.26075477845623
aa,2011-08-01,2011-09-01,1.66212023368638
aa,2011-08-01,2011-12-01,2.12011614800073
aa,2011-09-01,2011-09-01,2.26147241947044
aa,2011-09-01,2011-12-01,2.57920100054632
aa,2011-09-01,2012-03-01,2.60299510693425
aa,2011-10-01,2011-09-01,2.26147241947044
aa,2011-10-01,2011-12-01,2.57920100054632
aa,2011-10-01,2012-03-01,2.60299510693425
aa,2011-11-01,2011-09-01,2.26147241947044
aa,2011-11-01,2011-12-01,2.57920100054632
aa,2011-11-01,2012-03-01,2.60299510693425
aa,2011-12-01,2011-12-01,1.7345458936641
aa,2011-12-01,2012-03-01,1.92860924952422
aa,2011-12-01,2012-06-01,2.27202692783385
aa,2012-01-01,2011-12-01,1.7345458936641
aa,2012-01-01,2012-03-01,1.92860924952422
aa,2012-01-01,2012-06-01,2.27202692783385
aa,2012-02-01,2011-12-01,1.7345458936641
aa,2012-02-01,2012-03-01,1.92860924952422
aa,2012-02-01,2012-06-01,2.27202692783385
aa,2012-03-01,2012-03-01,2.96405291049525
aa,2012-03-01,2012-06-01,3.10880125220987
aa,2012-03-01,2012-09-01,2.89097434920613
aa,2012-04-01,2012-03-01,2.96405291049525
aa,2012-04-01,2012-06-01,3.10880125220987
aa,2012-04-01,2012-09-01,2.89097434920613
aa,2012-05-01,2012-03-01,2.96405291049525
aa,2012-05-01,2012-06-01,3.10880125220987
aa,2012-05-01,2012-09-01,2.89097434920613
aa,2012-06-01,2012-06-01,3.18999637048033
aa,2012-06-01,2012-09-01,2.9569104538053
aa,2012-06-01,2012-12-01,2.87535169378169
aa,2012-07-01,2012-06-01,3.18999637048033
aa,2012-07-01,2012-09-01,2.9569104538053
aa,2012-07-01,2012-12-01,2.87535169378169
aa,2012-08-01,2012-06-01,3.18999637048033
aa,2012-08-01,2012-09-01,2.9569104538053
aa,2012-08-01,2012-12-01,2.87535169378169
aa,2012-09-01,2012-09-01,2.43249121819848
aa,2012-09-01,2012-12-01,2.45888451031534
aa,2012-09-01,2013-03-01,2.57808974137793
aa,2012-10-01,2012-09-01,2.43249121819848
aa,2012-10-01,2012-12-01,2.45888451031534
aa,2012-10-01,2013-03-01,2.57808974137793
aa,2012-11-01,2012-09-01,2.43249121819848
aa,2012-11-01,2012-12-01,2.45888451031534
aa,2012-11-01,2013-03-01,2.57808974137793
aa,2012-12-01,2012-12-01,1.77639274385973
aa,2012-12-01,2013-03-01,2.03991572778693
aa,2012-12-01,2013-06-01,2.3209653114992
aa,2013-01-01,2012-12-01,1.77639274385973
aa,2013-01-01,2013-03-01,2.03991572778693
aa,2013-01-01,2013-06-01,2.3209653114992
aa,2013-02-01,2012-12-01,1.77639274385973
aa,2013-02-01,2013-03-01,2.03991572778693
aa,2013-02-01,2013-06-01,2.3209653114992
aa,2013-03-01,2013-03-01,1.58267042814526
aa,2013-03-01,2013-06-01,1.95996501579198
aa,2013-03-01,2013-09-01,2.2528240839939
aa,2013-04-01,2013-03-01,1.58267042814526
aa,2013-04-01,2013-06-01,1.95996501579198
aa,2013-04-01,2013-09-01,2.2528240839939
aa,2013-05-01,2013-03-01,1.58267042814526
aa,2013-05-01,2013-06-01,1.95996501579198
aa,2013-05-01,2013-09-01,2.2528240839939
aa,2013-06-01,2013-06-01,2.68303488254548
aa,2013-06-01,2013-09-01,2.81799009901348
aa,2013-06-01,2013-12-01,2.7309055337196
aa,2013-07-01,2013-06-01,2.68303488254548
aa,2013-07-01,2013-09-01,2.81799009901348
aa,2013-07-01,2013-12-01,2.7309055337196
aa,2013-08-01,2013-06-01,2.68303488254548
aa,2013-08-01,2013-09-01,2.81799009901348
aa,2013-08-01,2013-12-01,2.7309055337196
aa,2013-09-01,2013-09-01,2.06056920643702
aa,2013-09-01,2013-12-01,2.12248723317664
aa,2013-09-01,2014-03-01,2.38119665769555
aa,2013-10-01,2013-09-01,2.06056920643702
aa,2013-10-01,2013-12-01,2.12248723317664
aa,2013-10-01,2014-03-01,2.38119665769555
aa,2013-11-01,2013-09-01,2.06056920643702
aa,2013-11-01,2013-12-01,2.12248723317664
aa,2013-11-01,2014-03-01,2.38119665769555
aa,2013-12-01,2013-12-01,2.5142886134546
aa,2013-12-01,2014-03-01,2.69830430745597
aa,2013-12-01,2014-06-01,2.65491719221399
aa,2014-01-01,2013-12-01,2.5142886134546
aa,2014-01-01,2014-03-01,2.69830430745597
aa,2014-01-01,2014-06-01,2.65491719221399
aa,2014-02-01,2013-12-01,2.5142886134546
aa,2014-02-01,2014-03-01,2.69830430745597
aa,2014-02-01,2014-06-01,2.65491719221399
aa,2014-03-01,2014-03-01,2.93557187584036
aa,2014-03-01,2014-06-01,2.84561625335617
aa,2014-03-01,2014-09-01,2.77469514275525
aa,2014-04-01,2014-03-01,2.93557187584036
aa,2014-04-01,2014-06-01,2.84561625335617
aa,2014-04-01,2014-09-01,2.77469514275525
aa,2014-05-01,2014-03-01,2.93557187584036
aa,2014-05-01,2014-06-01,2.84561625335617
aa,2014-05-01,2014-09-01,2.77469514275525
aa,2014-06-01,2014-06-01,1.48264009881152
aa,2014-06-01,2014-09-01,1.68784843101204
aa,2014-06-01,2014-12-01,2.1335772495518
aa,2014-07-01,2014-06-01,1.48264009881152
aa,2014-07-01,2014-09-01,1.68784843101204
aa,2014-07-01,2014-12-01,2.1335772495518
aa,2014-08-01,2014-06-01,1.48264009881152
aa,2014-08-01,2014-09-01,1.68784843101204
aa,2014-08-01,2014-12-01,2.1335772495518
aa,2014-09-01,2014-09-01,2.88003193859183
aa,2014-09-01,2014-12-01,3.12549804567745
aa,2014-09-01,2015-03-01,2.85312476204839
aa,2014-10-01,2014-09-01,2.88003193859183
aa,2014-10-01,2014-12-01,3.12549804567745
aa,2014-10-01,2015-03-01,2.85312476204839
aa,2014-11-01,2014-09-01,2.88003193859183
